test;variables_used;mse;r_squared;aic
3917;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;23.24657799760502;0.9600628068810559;6004.035004711536
4027;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.20073735251167;0.9601415602655747;6004.061127012406
4063;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;23.200988189948472;0.9601411293314752;6004.071938568824
3920;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6;23.24970633924801;0.9600574324476941;6004.1695677929665
4091;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.157800165406165;0.9602153255627119;6004.208730380322
1930;x1, x2_squared, x3, x3_squared, x4_squared, x6_squared;23.39180768548807;0.9598133049503982;6004.262928563304
4065;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6, x6_squared;23.205484952900804;0.9601334039754914;6004.26573752237
4045;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.206948878839647;0.9601308889776737;6004.328820873898
999;x1, x2_squared, x3, x3_squared, x4_squared;23.440228878765403;0.9597301182315974;6004.330795522934
3375;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x6_squared;23.301177944945135;0.9599690051765026;6004.380981280155
2566;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared;23.34899428495821;0.9598868575844769;6004.430978288657
3958;x1, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.257556594140766;0.9600439458542818;6004.507160438595
3800;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x6_squared;23.259656672085754;0.9600403379590267;6004.597452947495
4095;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.120861734666462;0.960278785106827;6004.612381779589
3606;x1, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.30672770614871;0.9599594707889049;6004.619128055998
3302;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared;23.30898512741803;0.9599555925807147;6004.715980431896
3443;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x6, x6_squared;23.309409208376913;0.9599548640174331;6004.734174149846
3440;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x6_squared;23.309685074427318;0.9599543900846361;6004.746009045168
4083;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.17142631682755;0.9601919160853756;6004.796961734433
1922;x1, x2_squared, x3, x3_squared, x4, x4_squared;23.40557881574257;0.959789646402095;6004.851471286802
2891;x1, x2_squared, x3, x3_squared, x4, x4_squared, x6_squared;23.359927525098968;0.9598680744791543;6004.899121843111
2641;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5;23.36265975083065;0.9598633805656372;6005.016077084423
2643;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x6;23.362689877512977;0.9598633288085515;6005.017366606387
3578;x1, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.316041557052596;0.9599434697644845;6005.018668931625
3950;x1, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.269507158915662;0.9600234150039628;6005.0208642519765
943;x1, x2, x3, x3_squared, x4_squared;23.45757689762364;0.9597003146545099;6005.070617753945
1860;x1, x2, x3, x3_squared, x4_squared, x6_squared;23.41183219306748;0.9597789032149516;6005.118610251872
4071;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.225431761653464;0.9600991357251991;6005.124941319806
3953;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.272168458333685;0.9600188429405471;6005.135226246281
2770;x1, x2, x2_squared, x3, x3_squared, x4_squared, x6_squared;23.36955941905302;0.9598515270626278;6005.3113623670415
1797;x1, x2, x2_squared, x3, x3_squared, x4_squared;23.416862483796233;0.9597702612680682;6005.333448217475
4067;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.23211464729671;0.9600876546506705;6005.412639926637
3387;x1, x1_squared, x2, x3, x3_squared, x4_squared, x6, x6_squared;23.326064152040118;0.9599262511307738;6005.44843491193
3927;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.280094202522175;0.960005226657914;6005.4757357644885
3384;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5, x6_squared;23.327027835861955;0.9599245955397055;6005.489747664457
3886;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x6, x6_squared;23.282662394407705;0.9600008145515253;6005.586046754466
3883;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6_squared;23.282714967770907;0.9600007242314549;6005.588304799657
3945;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.28282210521563;0.9600005401712969;6005.592906376336
2573;x1, x1_squared, x2, x3, x3_squared, x4_squared, x6;23.376627293493318;0.959839384584432;6005.613755994896
2571;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5;23.37727937123127;0.9598382643268805;6005.641650037747
1852;x1, x2, x3, x3_squared, x4, x4_squared;23.424086640653737;0.9597578502995562;6005.641902979807
4070;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.238608377982647;0.9600764985408768;6005.692116134686
3812;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x6, x6_squared;23.285544615948552;0.9599958629479688;6005.70983170259
3809;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5, x6_squared;23.28604641234333;0.9599950008709988;6005.731381165846
3430;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x6;23.33310707437286;0.9599141515198395;6005.750322930989
3428;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5;23.33321998353021;0.9599139575439855;6005.75516193009
2835;x1, x2, x3, x3_squared, x4, x4_squared, x6_squared;23.380987827944367;0.959831893266506;6005.800272542087
2762;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared;23.382753375965702;0.9598288600875022;6005.875781813875
3309;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x6;23.337661481104472;0.9599063271329039;6005.945494636406
3307;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5;23.337855582526238;0.9599059936702339;6005.953811691427
3515;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x6_squared;23.338154977931577;0.9599054793144383;6005.966640354449
4062;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.246200070232618;0.9600634561533256;6006.018747245835
4093;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.200588404067837;0.9601418161562596;6006.054707004297
2903;x1, x2_squared, x3, x3_squared, x4_squared, x6, x6_squared;23.390945340576632;0.9598147864430836;6006.226062630636
2900;x1, x2_squared, x3, x3_squared, x4_squared, x5, x6_squared;23.39164432670386;0.9598135855977826;6006.2559449493465
1929;x1, x2_squared, x3, x3_squared, x4_squared, x6;23.4394231128663;0.959731502522581;6006.296419589456
1927;x1, x2_squared, x3, x3_squared, x4_squared, x5;23.439627427857427;0.9597311515131869;6006.305136275854
3858;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x6, x6_squared;23.30050288098085;0.959970164923968;6006.352009622808
3855;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x6_squared;23.301094642969016;0.9599691482877644;6006.3774062623925
3374;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x6;23.34836647940064;0.9598879361428693;6006.404090021426
3372;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5;23.34898971062868;0.9598868654430909;6006.430782377436
4022;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x6, x6_squared;23.25935274140684;0.9600408601063388;6006.584386002056
4019;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6_squared;23.259576632493015;0.9600404754655738;6006.594011807689
3799;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x6;23.30870786153827;0.9599560689183928;6006.704085125116
3797;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5;23.308978924284038;0.9599556032375848;6006.71571430556
3893;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x6, x6_squared;23.30937584632985;0.9599549213328159;6006.732742879296
