Variables;MSE_Val;R2_Val;AIC_Val;BIC_Val
('x1', 'x3', 'x4', 'x3^2', 'x5^2', 'x6^2');23.86159003181263;0.9609346668913449;77.4454010901725;84.41552700505044
('x1', 'x3', 'x4', 'x1^2', 'x2^2', 'x3^2');23.916661230651382;0.9608445063142643;77.49150677363514;84.46163268851308
('x1', 'x2', 'x3', 'x4', 'x1^2', 'x3^2');23.950086166646162;0.9607897842166576;77.51943843245469;84.48956434733263
('x1', 'x3', 'x4', 'x5', 'x3^2', 'x4^2');24.072144251747847;0.9605899551295455;77.62110663643493;84.59123255131287
('x1', 'x3', 'x4', 'x5', 'x2^2', 'x3^2', 'x4^2', 'x6^2');19.71523329566554;0.9677229323367301;77.62783201337874;86.58942247536466
('x3', 'x4', 'x6', 'x1^2', 'x3^2', 'x4^2', 'x6^2');21.801860865518485;0.9643067810667882;77.63990653911235;85.60576472754427
('x3', 'x5', 'x1^2', 'x3^2', 'x4^2');26.63273353209496;0.9563978508708666;77.64282086306429;83.61721450438823
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x4^2', 'x5^2', 'x6^2');19.731333114747535;0.9676965742945968;77.64415771311995;86.60574817510587
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x4^2', 'x6^2');19.739983204436975;0.9676824126802749;77.65292366331829;86.61451412530421
('x1', 'x3', 'x4', 'x5', 'x3^2', 'x4^2', 'x6^2');21.82018944644892;0.9642767741762792;77.65671325211913;85.62257144055106
('x1', 'x3', 'x4', 'x1^2', 'x3^2', 'x6^2');24.11605458853238;0.9605180667125911;77.65755568412271;84.62768159900065
('x1', 'x2', 'x3', 'x4', 'x6', 'x3^2', 'x6^2');21.831992535733267;0.9642574505849347;77.66752883020575;85.63338701863768
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x4^2', 'x5^2', 'x6^2');19.761101872604538;0.9676478379597439;77.67430907097332;86.63589953295923
('x1', 'x3', 'x4', 'x3^2', 'x5^2');26.67786452868222;0.9563239640337842;77.67668355379399;83.65107719511794
('x1', 'x2', 'x3', 'x3^2', 'x4^2', 'x6^2');24.156162980547908;0.9604524027022527;77.69079086847105;84.66091678334898
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x4^2', 'x5^2');21.86086467262715;0.9642101821655287;77.69396073962159;85.65981892805351
('x1', 'x3', 'x4', 'x6', 'x2^2', 'x3^2', 'x6^2');21.89196756491255;0.9641592616339903;77.72239583370262;85.68825402213454
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x4^2', 'x5^2', 'x6^2');19.817418153584633;0.9675556389791647;77.73122511427124;86.69281557625716
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x4^2', 'x5^2', 'x6^2');19.820272329370663;0.9675509662256859;77.73410537874295;86.69569584072887
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x4^2', 'x5^2');21.95785769364675;0.9640513886957602;77.78250113896837;85.74835932740031
('x3', 'x4', 'x5', 'x6', 'x1^2', 'x3^2');24.27110449278993;0.9602642246111129;77.78573054529245;84.75585646017039
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x4^2', 'x5^2');22.012154676952694;0.9639624956363784;77.8318957222105;85.79775391064243
('x1', 'x3', 'x2^2', 'x3^2', 'x4^2', 'x6^2');24.330219524080565;0.9601674436176411;77.83438359056561;84.80450950544355
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2', 'x4^2', 'x6^2');19.932179102494153;0.9673677564997895;77.84670932109586;86.80829978308178
('x1', 'x2', 'x3', 'x4', 'x6', 'x3^2');24.364736209459483;0.9601109341473864;77.86273699238302;84.83286290726095
('x1', 'x3', 'x4', 'x6', 'x3^2', 'x4^2', 'x6^2');22.049574783563266;0.9639012327897805;77.86586635029542;85.83172453872734
('x3', 'x4', 'x6', 'x1^2', 'x3^2', 'x4^2');24.383795361394455;0.9600797311924233;77.87837574275511;84.84850165763305
('x2', 'x3', 'x4', 'x6', 'x1^2', 'x3^2', 'x6^2');22.06905724085968;0.9638693368145732;77.88353005170121;85.84938824013314
